id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,108602.0,2168092048137,1,2168092048137,83714509163.0,111758.0,107700.0,-2669.597084213019,-2.39917,-47927464638.61694,-2.16277,19935650.0,19935650.0,21000000.0,126080.0,-13.76184,2025-10-06T18:57:42.558Z,67.81,160245.9388,2013-07-06T00:00:00.000Z,,2025-10-17T01:56:55.193Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3909.76,472829448393,2,472829448393,45213749368.0,4068.79,3836.72,-99.57216430989365,-2.48351,-11091980112.497559,-2.2921,120698693.7463178,120698693.7463178,,4946.05,-20.71425,2025-08-24T19:21:03.333Z,0.432979,905605.13213,2015-10-20T00:00:00.000Z,"{'times': 47.1391103278605, 'currency': 'btc', 'percentage': 4713.91103278605}",2025-10-17T01:56:54.508Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.001,181425211584,3,181425211584,143702056392.0,1.001,1.0,-0.000251061651624251,-0.02509,-44154939.73522949,-0.02433,181329989227.5298,181329989227.5298,,1.32,-24.37947,2018-07-24T00:00:00.000Z,0.572521,74.75894,2015-03-02T00:00:00.000Z,,2025-10-17T01:56:53.659Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,1144.54,159762649547,4,159762649547,4329397420.0,1193.25,1131.17,-39.928067236510515,-3.37097,-5086860383.81546,-3.08576,139181088.5799999,139181088.5799999,200000000.0,1369.99,-16.13792,2025-10-13T08:41:24.131Z,0.0398177,2885309.17329,2017-10-19T00:00:00.000Z,,2025-10-17T01:56:53.895Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.35,140738569956,5,234859571837,6834802125.0,2.46,2.29,-0.07463602770994981,-3.08166,-4132873295.186737,-2.85279,59916045245.0,99985787384.0,100000000000.0,3.65,-35.44056,2025-07-18T03:40:53.808Z,0.00268621,87535.88684,2014-05-22T00:00:00.000Z,,2025-10-17T01:56:54.508Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,185.31,101512998878,6,113611987963,10007454529.0,197.59,182.9,-9.646730847924317,-4.94824,-4944222369.960175,-4.64433,546832211.0323769,612007282.4615885,,293.31,-36.66685,2025-01-19T11:15:27.957Z,0.500801,36993.30387,2020-05-11T19:35:23.449Z,,2025-10-17T01:56:54.161Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.99987,75955588008,7,75966488661,20521761710.0,0.999947,0.999796,6.018e-05,0.00602,-106432185.69198608,-0.13993,75970527582.28421,75981430379.3751,,1.17,-14.74391,2019-05-08T00:40:28.300Z,0.877647,13.91867,2023-03-11T08:02:13.981Z,,2025-10-17T01:56:53.936Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,3907.65,33191023049,8,33191144595,86448164.0,4066.89,3833.47,-97.85983778596938,-2.44313,-855342645.7019234,-2.51229,8492288.498018693,8492319.5969955,,4932.89,-20.567,2025-08-24T19:21:31.902Z,482.9,711.42602,2020-12-22T04:08:21.854Z,,2025-10-17T01:56:52.790Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.316656,29979319487,9,29979437866,1010337526.0,0.323396,0.313924,-0.003586579738396933,-1.11996,-336294742.41832733,-1.10931,94664476138.97731,94664849940.77,,0.431288,-26.55199,2024-12-04T00:10:40.323Z,0.00180434,17456.13718,2017-11-12T00:00:00.000Z,"{'times': 165.6608889977569, 'currency': 'usd', 'percentage': 16566.08889977569}",2025-10-17T01:56:53.116Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.189432,28717221881,10,28726284851,3268800735.0,0.200843,0.185854,-0.008477059359408762,-4.28331,-1194218906.2412033,-3.99252,151333896383.7052,151381656383.7052,,0.731578,-74.03468,2021-05-08T05:08:23.458Z,8.69e-05,218482.71552,2015-05-06T00:00:00.000Z,,2025-10-17T01:56:53.232Z
