id,symbol,name,current_price,market_cap,total_volume,price_change_percentage_24h,categories,hashing_algorithm,genesis_date,sentiment_up,sentiment_down,developer_score,community_score,liquidity_score
bitcoin,btc,Bitcoin,88388.0,1763726294961,20701197626.0,0.3115,"['Smart Contract Platform', 'Layer 1 (L1)', 'FTX Holdings', 'Proof of Work (PoW)', 'Bitcoin Ecosystem', 'GMCI 30 Index', 'GMCI Index', 'Coinbase 50 Index']",SHA-256,2009-01-03,71.91,28.09,,,
ethereum,eth,Ethereum,2983.19,360047484607,9983823082.0,0.28401,"['Smart Contract Platform', 'Layer 1 (L1)', 'Ethereum Ecosystem', 'FTX Holdings', 'Multicoin Capital Portfolio', 'Proof of Stake (PoS)', 'Alameda Research Portfolio', 'Andreessen Horowitz (a16z) Portfolio', 'GMCI Layer 1 Index', 'GMCI 30 Index', 'Delphi Ventures Portfolio', 'Galaxy Digital Portfolio', 'GMCI Index', 'World Liberty Financial Portfolio', 'Coinbase 50 Index']",Ethash,2015-07-30,77.78,22.22,,,
tether,usdt,Tether,0.999779,186784726805,42860141654.0,0.02193,"['Stablecoins', 'USD Stablecoin', 'Solana Ecosystem', 'Avalanche Ecosystem', 'Near Protocol Ecosystem', 'Celo Ecosystem', 'Ethereum Ecosystem', 'Tezos Ecosystem', 'Kaia Ecosystem', 'Aptos Ecosystem', 'FTX Holdings', 'TON Ecosystem', 'Tron Ecosystem', 'Kava Ecosystem', 'Fiat-backed Stablecoin', 'World Liberty Financial Portfolio']",,,63.64,36.36,,,
binancecoin,bnb,BNB,854.0,117413124596,768865242.0,0.02135,"['Smart Contract Platform', 'Exchange-based Tokens', 'BNB Chain Ecosystem', 'Centralized Exchange (CEX) Token', 'Layer 1 (L1)', 'Ethereum Ecosystem', 'Alleged SEC Securities', 'FTX Holdings', 'Proof of Stake (PoS)', 'GMCI Layer 1 Index', 'GMCI 30 Index', 'GMCI Index', 'Made in China']",,2017-07-08,18.18,81.82,,,
ripple,xrp,XRP,1.92,115585638134,2571351095.0,-0.59073,"['FTX Holdings', 'Pantera Capital Portfolio', 'Andreessen Horowitz (a16z) Portfolio', 'XRP Ledger Ecosystem', 'GMCI 30 Index', 'Blockchain Capital Portfolio', 'GMCI Index', 'Made in USA', 'Coinbase 50 Index']",,,80.0,20.0,,,
usd-coin,usdc,USDC,0.999998,77063403750,4648557380.0,0.02194,"['Stablecoins', 'USD Stablecoin', 'Solana Ecosystem', 'Avalanche Ecosystem', 'Polygon Ecosystem', 'Near Protocol Ecosystem', 'Arbitrum Ecosystem', 'Celo Ecosystem', 'Moonriver Ecosystem', 'Ethereum Ecosystem', 'XDC Ecosystem', 'Algorand Ecosystem', 'Optimism Ecosystem', 'Aptos Ecosystem', 'ZkSync Ecosystem', 'Sui Ecosystem', 'Base Ecosystem', 'Tron Ecosystem', 'Starknet Ecosystem', 'Hedera Ecosystem', 'Stellar Ecosystem', 'XRP Ledger Ecosystem', 'Sonic Ecosystem', 'Fiat-backed Stablecoin', 'Sei Network Ecosystem', 'World Chain Ecosystem', 'World Liberty Financial Portfolio', 'Ink Ecosystem', 'Made in USA', 'Unichain Ecosystem', 'HyperEVM Ecosystem', 'Plume Network Ecosystem', 'Monad Ecosystem']",,,66.67,33.33,,,
solana,sol,Solana,125.74,70528223495,2506479667.0,-0.33572,"['Smart Contract Platform', 'Solana Ecosystem', 'Layer 1 (L1)', 'Alleged SEC Securities', 'FTX Holdings', 'Multicoin Capital Portfolio', 'Proof of Stake (PoS)', 'Alameda Research Portfolio', 'Andreessen Horowitz (a16z) Portfolio', 'GMCI Layer 1 Index', 'GMCI 30 Index', 'Delphi Ventures Portfolio', 'GMCI Index', 'Polychain Capital Portfolio', 'Made in USA', 'Coinbase 50 Index']",,,68.75,31.25,,,
tron,trx,TRON,0.286997,27170990949,546276654.0,2.45104,"['Smart Contract Platform', 'Layer 1 (L1)', 'Alleged SEC Securities', 'FTX Holdings', 'DWF Labs Portfolio', 'Tron Ecosystem', 'Proof of Stake (PoS)', 'GMCI Layer 1 Index', 'GMCI 30 Index', 'GMCI Index', 'World Liberty Financial Portfolio', 'Made in China']",Delegated Proof-of-Stake,2017-08-28,57.14,42.86,,,
staked-ether,steth,Lido Staked Ether,2983.53,26157871732,16382645.0,0.26471,"['Decentralized Finance (DeFi)', 'Liquid Staking Tokens', 'Ethereum Ecosystem', 'Liquid Staked ETH', 'Liquid Staking']",,,100.0,0.0,,,
dogecoin,doge,Dogecoin,0.130164,21835546737,659146294.0,-1.26635,"['Smart Contract Platform', 'Meme', 'Dog-Themed', 'Elon Musk-Inspired', 'Proof of Work (PoW)', 'GMCI Meme Index', 'GMCI 30 Index', 'GMCI Index', 'Coinbase 50 Index', '4chan-Themed']",Scrypt,2013-12-08,86.96,13.04,,,
figure-heloc,figr_heloc,Figure Heloc,1.021,14559285474,237970.0,-1.39748,"['Real World Assets (RWA)', 'Made in USA', 'Provenance Ecosystem', 'Tokenized Private Credit']",,,16.67,83.33,,,
cardano,ada,Cardano,0.364606,13326634080,433040547.0,-2.99369,"['Smart Contract Platform', 'Layer 1 (L1)', 'Cardano Ecosystem', 'Alleged SEC Securities', 'Proof of Stake (PoS)', 'GMCI Layer 1 Index', 'GMCI 30 Index', 'GMCI Index', 'Made in USA', 'Coinbase 50 Index']",,,87.72,12.28,,,
